,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view_of_house,condition_of_house,grade_of_house,sqft_above,sqft_basement,year_of_renovation,yr_built,zipcode
0,565000,5,2.5,2650,11455,1,0,poor,good,fair,1400,1250,Never,1961,98008
1,398000,3,1.75,1890,16001,1.5,0,poor,very good,fair,1890,0,Never,1950,98011
2,455000,3,2.25,2180,6850,1,0,poor,good,fair,1750,430,Never,1973,98034
3,860000,3,2,2090,4190,1.5,0,poor,very good,good,1490,600,Never,1930,98122
4,840500,4,2.25,2290,12174,1,1,excellent,good,fair,1490,800,Never,1948,98178
5,229000,3,1,1590,6240,1,0,poor,good,fair,1060,530,Never,1956,98146
6,611900,1,2.25,1220,2100,2,0,good,very good,good,1220,0,1970s,1946,98033
7,247500,4,2,1760,8400,1,0,poor,good,fair,1060,700,Never,1962,98003
8,515000,4,2.5,2890,15067,2,0,poor,good,good,2890,0,Never,2003,98024
9,319950,2,1,920,8341,1,0,poor,good,fair,920,0,Never,1939,98146
10,244500,3,1.75,1210,8864,1,0,poor,good,fair,1210,0,Never,1985,98042
11,575000,3,1.75,2010,3800,2,0,poor,fair,fair,2010,0,Never,1922,98112
12,418200,3,2.25,2240,9542,1,0,fair,good,fair,1190,1050,Never,1980,98198
13,880000,6,2.5,2640,3680,2,0,poor,excellent,good,1760,880,Never,1922,98126
14,670950,3,2.5,1790,2375,3,0,poor,good,good,1790,0,Never,2007,98107
15,219900,3,1,860,6664,1,0,poor,good,fair,860,0,Never,1944,98178
16,353000,4,2.5,1830,5331,2,0,poor,good,fair,1830,0,Never,2002,98038
17,425000,3,2.25,1400,6970,2,0,poor,good,good,1400,0,Never,1984,98006
18,323000,3,1.75,1830,12500,1,0,fair,good,fair,1200,630,Never,1947,98178
19,392000,3,1,1230,9600,1,0,poor,good,fair,1230,0,Never,1952,98118
20,659000,4,2,1980,23625,2,0,poor,good,good,1980,0,1980s,1938,98072
21,565000,4,2.75,3130,139392,2,0,poor,very good,good,3130,0,Never,1981,98030
22,600000,4,2.75,3110,11225,2,0,poor,good,good,3110,0,Never,2012,98059
23,282950,3,1,1250,8200,1,0,poor,very good,fair,1250,0,Never,1954,98003
24,575000,4,2.5,2520,35636,2,0,poor,good,good,2520,0,Never,1980,98053
25,299999,4,2.5,1981,4828,2,0,poor,good,good,1981,0,Never,2013,98092
26,249900,3,2.5,1630,7700,1,0,poor,good,fair,1120,510,Never,1978,98031
27,535000,3,2.75,1320,1125,3,0,poor,good,good,1320,0,Never,2008,98103
28,289000,3,1.5,1970,22486,1,0,poor,very good,fair,1970,0,Never,1968,98058
29,800000,3,1.75,2080,75794,1,0,poor,good,fair,2080,0,Never,1958,98033
30,515000,4,2.5,2030,39049,1,0,poor,very good,fair,1530,500,Never,1953,98166
31,472500,3,2,1750,15500,1,0,poor,good,fair,1490,260,Never,1982,98075
32,415000,4,1,1620,4329,1.5,0,poor,good,fair,1620,0,Never,1927,98116
33,465000,4,2.25,2550,7650,2,0,good,very good,good,2550,0,Never,1996,98106
34,329000,4,2,1850,9126,1,0,poor,excellent,fair,1850,0,Never,1963,98059
35,549950,4,3.5,3906,9674,2,0,good,good,good,3906,0,Never,2014,98001
36,829995,5,3.25,3360,6120,2,0,poor,good,good,3360,0,Never,2014,98074
37,189950,4,2,1910,4225,1,0,poor,very good,fair,910,1000,Never,1919,98001
38,585000,4,2.5,2160,8158,1,0,poor,very good,good,1660,500,Never,1952,98115
39,269900,3,2.25,1740,9672,1,0,poor,very good,fair,1110,630,Never,1963,98031
40,195000,3,1.75,1070,6110,1,0,poor,very good,fair,1070,0,Never,1968,98002
41,370000,3,1.75,1620,37913,2,0,poor,very good,fair,1620,0,1970s,1953,98001
42,950000,5,2,2940,5500,2,0,poor,very good,good,2340,600,Never,1909,98102
43,975000,5,3.5,5470,35071,2,0,poor,good,excellent,4590,880,Never,1976,98005
44,419500,3,2.5,1360,3188,2,0,poor,good,fair,1360,0,Never,1986,98052
45,614000,3,2.5,2830,5831,2,0,poor,good,good,2830,0,Never,2010,98011
46,339000,3,1,1150,2496,1,0,poor,good,fair,1010,140,Never,1947,98126
47,430000,2,1.5,1320,1194,3,0,poor,good,fair,1320,0,Never,2001,98107
48,320000,4,2.5,2223,5780,2,0,poor,good,good,2223,0,Never,2010,98042
49,435000,2,1,1260,4080,1.5,0,poor,excellent,fair,1260,0,Never,1926,98115
50,338000,3,2.5,1590,7819,2,0,poor,good,fair,1590,0,Never,1992,98055
51,745641,4,2.5,2440,4850,2,0,poor,good,good,2440,0,Never,2013,98052
52,500000,4,2,1530,7816,1,0,poor,good,fair,1530,0,Never,1955,98133
53,257000,3,1,1450,7850,1.5,0,poor,excellent,fair,1450,0,Never,1910,98055
54,248000,3,1,1420,8800,1,0,poor,very good,fair,1090,330,Never,1981,98030
55,353000,4,2.75,2200,268329,1,0,poor,good,fair,1410,790,Never,1989,98092
56,390000,3,1.5,1600,10440,1,0,poor,good,fair,1600,0,Never,1954,98125
57,729000,3,1.5,1770,30689,1,0,excellent,good,good,1770,0,Never,1953,98177
58,401000,3,2.25,1350,2839,2,0,poor,good,fair,1350,0,Never,2003,98053
59,275000,3,1,1370,17859,1,0,poor,very good,fair,1150,220,Never,1930,98024
60,274800,3,1.75,1410,1988,2,0,poor,good,good,1410,0,Never,2014,98106
61,1150000,4,3.75,5300,37034,2,0,poor,good,excellent,5300,0,Never,1989,98077
62,499950,3,2.5,3230,129578,1,0,poor,very good,good,2100,1130,Never,1964,98014
63,1600000,5,3.75,3570,10125,2,0,poor,good,good,3570,0,Never,2014,98040
64,275000,3,1.5,1170,1174,2,0,poor,good,fair,840,330,Never,2007,98126
65,605000,4,3.25,2885,33671,2,0,poor,very good,good,2885,0,Never,1984,98027
66,616500,3,2,2080,4549,1,0,poor,excellent,fair,1040,1040,Never,1954,98115
67,325500,4,1.75,2290,8142,1,0,poor,very good,fair,1490,800,Never,1969,98055
68,212000,4,1.75,1250,12705,1,0,poor,very good,fair,1250,0,Never,1971,98023
69,395000,2,1.5,1010,3060,1,0,poor,very good,fair,1010,0,Never,1918,98103
70,615000,3,1.75,1720,4080,1,0,poor,very good,fair,960,760,Never,1924,98144
71,1590000,4,2.25,3240,11131,1,0,poor,very good,good,2080,1160,Never,1953,98004
